,PMU_EXAMPLE_FAKE_092be9f8_f19f_11ec_ad61_30d042e819fe
pmc51,"0.7751328233611146,0.23956189066697242,0.38509772860192526,0.8564898411883223,0.558404249735805,0.8521815003185401,0.5371065418185478,0.9398321236134751,0.7499604703991778,0.6650366745462555,0.528937134027212,0.837013328363672,0.4815223515125501,0.5786754085723934,0.6178472402012138,0.6016118201463312,0.3031283559453286,0.2152018720172375,0.8159469389686173,0.22061195271121126,0.484696287130047,0.1737615931357438,0.9096268194365924,0.9132869475762367,0.9664173858664074,0.11099809879131484,0.3687071708647952,0.674130295536063,0.2403989128935069,0.6972093819096368,0.48303969755889,0.24838360874320753,0.11539464217891737,0.42485084286808694,0.6747863021674105,0.13714848815274316,0.3978657030174272,0.9091752640535857,0.11635848516449587,0.8349472056944037,0.6890876537482297,3.071884538241587e-05,0.06203676362878152,0.59856299321776,0.57835976311654,0.020137848949289827,0.7174649906119122,0.44418340687836655,0.381616499109135,0.05126345917599817,0.8051743973603768,0.20179494825245692,0.9667061400184606,0.9954215129254561,0.23875177108602408,0.3850580557189617,0.6752308375620375,0.798555838130599,0.9597457214619692,0.15966634936715074,0.950279223611407,0.5402172667786186,0.17397739952180358,0.5182057321825209,0.9968492842814399,0.5218308753051893,0.8649949762077763,0.5578791835778856,0.931490386918926,0.4737732925144229,0.5272551499506771,0.10395937591238957,0.9143404426664835,0.042200468581298445,0.43714810504503465,0.408927235756672,0.14745300926617955,0.6881176592063503,0.6979904714977925,0.0632626718206748,0.17567229796858452,0.8238017499205379,0.97850596693269,0.04927365358277147,0.11501093682809782,0.09103631494544173,0.41275832027739345,0.19648265240291862,0.4702962226915748,0.8240944904843742,0.5471276425689006,0.49715381588287166,0.6335352936161702,0.3477378355593156,0.626244822763033,0.946264493003082,0.16189561005235842,0.10648176328470638,0.9728943893876949,0.6727136115004362"
pmc52,"0.9394989415641891,0.1448948720912231,0.8511366715168569,0.658693631618945,0.4242220092469763,0.5519068387744855,0.5868411180208791,0.6277080530714179,0.20990559309558576,0.1753712786234496,0.9390676985128962,0.6974714616692836,0.11730818896239448,0.43861541918959046,0.8689049844787182,0.8191888594267902,0.26311256991084286,0.012120774643893273,0.861369996363436,0.5982252940637388,0.16577454016327575,0.7120140203307808,0.6692002629380784,0.6125734683448192,0.5577088262500439,0.8082352100092222,0.3698132559871766,0.25990497924283285,0.19159294573482577,0.7143266357349976,0.2685337560676073,0.7054608302834863,0.6056378893234114,0.9078385138835341,0.6775316138836847,0.580699084554285,0.827553052274047,0.3138780765150273,0.6127958355365104,0.9746905960485515,0.8232732126800302,0.712137045880605,0.33930526730956745,0.4141410682156662,0.8326117733261311,0.15378370551321618,0.4754757152327337,0.6755867735674388,0.775234538899056,0.4018762712367395,0.1857769546987078,0.9088264977168623,0.6971662542903504,0.287511199383759,0.21354285449034138,0.9429827840711357,0.20588198817832115,0.1070291342110381,0.8515814000172374,0.7900832499714378,0.5356889704560298,0.050322932934663944,0.3374770457129719,0.03752865753180312,0.4303431736890725,0.5856543354287992,0.32061990655022676,0.3043075918208643,0.9084101072685695,0.44677215883960686,0.929870482293879,0.9623653164545284,0.2652850890860524,0.4962951255006397,0.2678735828174408,0.6619698394506341,0.07324560410739012,0.12818807281046174,0.7902599039416938,0.6030138633645882,0.9602663584920665,0.10314676087836105,0.010670127006162766,0.8524388856418731,0.6948207298717207,0.6482091774485559,0.22777834161780142,0.25143015218746345,0.02899674433594801,0.005324190571064258,0.0407850134355181,0.1347857849174381,0.24853574392709288,0.8764209436044927,0.14637306658896776,0.7333615147320935,0.24929535000461134,0.4918568713931474,0.05573552650140212,0.3871305089711483"
pmc53,"0.8948273504276488,0.489452760277563,0.31692200515627766,0.1629344270814297,0.906354385094736,0.5609379715353863,0.74543947418433,0.3349056146570861,0.8980542894407137,0.9144119459249598,0.7987832357736654,0.6801407717603004,0.12518579220255044,0.7252576604151365,0.5706097466388297,0.8842064633484078,0.3601364074715191,0.24120145759954148,0.846514338690278,0.7356631142391898,0.9456981470002823,0.8259782127080818,0.8292867993167555,0.873698593466345,0.34727703903050755,0.9476880259644708,0.0523550201874724,0.3451922084942105,0.9182390866754371,0.4617161438131191,0.2874616648972501,0.4276013337033373,0.11720390568023342,0.5070596467387183,0.3731226184223836,0.5055087603898639,0.17070836331248018,0.6910558127392618,0.9384821582141546,0.1354595367946908,0.5561906926300116,0.35659617598620563,0.5059316543195584,0.9579458599261376,0.8041655649838841,0.886171294055993,0.8490980199586761,0.5088940700698802,0.3425910828111318,0.6737562297840898,0.08496628988946642,0.7604000672874827,0.0832230662080723,0.5382201018684752,0.41114433647998705,0.6103760597816921,0.35248104694335114,0.7806993041716287,0.8637896229650033,0.6162907483541447,0.39419049459990796,0.06290747601802393,0.018081092205685434,0.569230212091448,0.3202987424967425,0.008495578607209509,0.17833151242821632,0.08645750712015232,0.7812906474056922,0.0070965324948871755,0.48379689658279634,0.890220670554556,0.9039530651898893,0.5444613321491686,0.6040049977395001,0.4648547808132707,0.8123173327141189,0.4253564962699836,0.2957528346203294,0.057132719343329974,0.693169360253846,0.9430207096457361,0.6227412763774776,0.5484009367419117,0.4415472888798304,0.4131944788027977,0.5838582673080154,0.17357214415143973,0.6898210713287619,0.5648191628863961,0.31500827518977403,0.49607547850053113,0.3041552544854651,0.20165521126689223,0.18892981376495233,0.6374988029341632,0.22488678022553177,0.7684677956641338,0.5739615175016297,0.2513076871421568"
pmc54,"0.5978999788110851,0.9856504541106007,0.1694927466860925,0.07056874740042984,0.11119748230615134,0.876653602658345,0.4316595462296794,0.13927207266338726,0.20513964048200717,0.4187705248920731,0.9979341105333375,0.6186113782151843,0.6855652872289714,0.48666894142470285,0.03038705969683686,0.22807977194893247,0.08764274676383854,0.9758737549100538,0.9189265336395545,0.9983475113929496,0.8499753714806619,0.10063747852353333,0.8789789002822673,0.7239730554660938,0.580467600993696,0.0723164752579386,0.7675676285179183,0.9174858431319902,0.1018036829495369,0.9209945210965759,0.6567560634745571,0.4425455148147456,0.33720657556575206,0.18792038081532303,0.9416919866580306,0.14407878601319957,0.030463686308960125,0.27163318127436964,0.6617777324716385,0.23147521376529812,0.7795167014240635,0.25448133161826025,0.1619230066322137,0.5411138248788447,0.8664231835397002,0.45851856218701537,0.38339714105825895,0.8614456860213242,0.6276688771588087,0.4503503857807928,0.43624602635715737,0.676398368910006,0.8629596233130185,0.533323547859605,0.7040314525916569,0.8349737856829623,0.126110141678625,0.9101961241446964,0.4067737485720052,0.04486055762771701,0.8482031285528955,0.1873467913267889,0.40032986841075824,0.9207708496360754,0.9066532969519989,0.7610059829495553,0.23936983634204634,0.0014283430791767193,0.019401245618215435,0.8193982309664928,0.49044909673594994,0.27034859049558435,0.32066275473643224,0.16844055113191525,0.8713335923402825,0.6305886973085435,0.7524092332120093,0.24720607373887682,0.4956539208832471,0.8937741877619448,0.8013715354636367,0.795072881181164,0.41283939775890643,0.19731397057605993,0.9449847855558431,0.40561939025544236,0.3714633393344715,0.9578353044485031,0.4818372535762582,0.339203431271918,0.5755495078311033,0.1691039004206515,0.7708145216643212,0.07824209858002273,0.8594345828335509,0.6452777553235629,0.5194487863912376,0.22164731461755915,0.8630287792502848,0.16620053680874547"
pmc55,"0.9218742350231168,0.2420552715115004,0.5568012624583502,0.6424192782063156,0.49262510429085915,0.40348286621239704,0.12758030279556376,0.794025189270296,0.19068772066366657,0.38313852824949746,0.35071181545171015,0.7527166395576412,0.4303058948994627,0.8734232380816606,0.9309486955069778,0.21204483990822665,0.9369578230310628,0.8015371118829896,0.2522410201733616,0.9331133313435577,0.6690223373291083,0.23987411275594472,0.5717723520483222,0.12055841640369025,0.1391967013456955,0.9551152072917014,0.416504431903879,0.2905045056714204,0.5059579077349317,0.6945954272532854,0.9685373316998922,0.6493223245768817,0.14284196481433187,0.07697166938087407,0.167357032236781,0.6239984855289824,0.20444837246427305,0.19060983307444979,0.07680304831442153,0.868409523946934,0.01620039733946721,0.01289746978952544,0.658102218056492,0.6050895185405384,0.05961732534465902,0.5645906389334635,0.16827858850771282,0.8660356750457565,0.19201608474003673,0.7489631508603986,0.6583074395060619,0.3009663196316217,0.4805599408362681,0.4056452594472375,0.21745293221723594,0.7103515007123322,0.12985701341788103,0.38283339476843525,0.7623612137071728,0.6225469904622817,0.49298271045808906,0.03247077169174828,0.5498769211562105,0.9684191305004078,0.19124212907612137,0.7130142918617408,0.4179685080138871,0.4495833529202623,0.3270067684961021,0.35982490063656647,0.11974678850053189,0.822760243032332,0.5523380134555028,0.7604646062760667,0.9989046997630767,0.44959890600773733,0.7533129318792571,0.7483752494281826,0.4211189044340816,0.5298090570700541,0.397634985732753,0.18125025555155194,0.8598544903351217,0.3172552164497,0.1416113506178993,0.6795518365726839,0.4489117225927901,0.8546174631518354,0.12434531744241073,0.32268370707782024,0.9505939659311243,0.12613578629576516,0.3272211831614539,0.788118939945219,0.25625492388907256,0.8267276483962821,0.5626887557907294,0.26949005013336336,0.4813827117484275,0.3494741195326255"
pmc56,"0.0884925020519195,0.6721355474058786,0.936154774160781,0.026511310541621813,0.011353644767419069,0.13401522845064073,0.28377590579872447,0.6200727559285135,0.03654966784809488,0.5189177052828375,0.7671882889311269,0.1586051052930737,0.20052472670033672,0.9007018640112585,0.6895267510315611,0.6109809888509917,0.5538022407123763,0.9595766443210334,0.7550419287462783,0.6425651995351915,0.4622955610006072,0.1419719897609939,0.5174463517550413,0.9024533072858417,0.4440437492022029,0.5225765993367452,0.8221798868164233,0.4699882681579366,0.22085278296300892,0.7289810616558164,0.6036372005593751,0.9362806214689267,0.6920736470243689,0.6961561451379252,0.5003594462155606,0.27364041786077165,0.34041155611425966,0.18463245734736922,0.35466620498508283,0.9264637979561848,0.8183804247795352,0.5402994067614997,0.9977493890102006,0.22048763941474925,0.6920505530397448,0.6630272037231474,0.8364421924698697,0.009910695491153643,0.14602101929696254,0.3569824294686639,0.43771682493354136,0.18404477205021352,0.06875390642248747,0.1691618938424202,0.3666788797029814,0.11250313052663174,0.6761957463565392,0.6306352949830805,0.14387615538978016,0.30891772284376606,0.47190251056452304,0.7433528955700124,0.6195825928270868,0.5405526753889242,0.6154289150329266,0.3662863862065222,0.2511920046044672,0.8368634222265923,0.6279587353429078,0.5407656313005429,0.8026562441522198,0.5183239230398234,0.05050747083228213,0.9849291084414916,0.6077627687434245,0.18863224642407483,0.716325343476028,0.26203500450687456,0.41052278435142786,0.6693483507627961,0.33631272750495556,0.7120079611981627,0.2518147020091317,0.28192955175156076,0.642833390815738,0.06709373262987872,0.5371693216040289,0.23049483735152088,0.21427180931025958,0.644906323864917,0.8591303597512333,0.9326457173411677,0.24219589201314218,0.8354861556432962,0.38019499797517753,0.10691986437982137,0.9449474208215045,0.24271498679858317,0.07852718594157282,0.741806475246172"
pmc57,"0.1959828624191452,0.7616196153287176,0.696029796674973,0.5857755812734633,0.46866064199412627,0.028782676313338973,0.3630822963986351,0.5334610919763215,0.47206694510999925,0.046965966775055046,0.40193091360924216,0.8808707591989284,0.4915945467414369,0.4217209268734554,0.6765133857772465,0.4110284698067047,0.30552431065802355,0.48785404392636245,0.46053949727414,0.421248053294072,0.4117655415845085,0.3479414115821666,0.4304274103209902,0.06644384435577488,0.6262343214210638,0.2995656779538739,0.8503480011198954,0.8901411373960146,0.03892996332566745,0.8616909037873453,0.07697946706496628,0.06400634660862092,0.2062521138361526,0.38279876443638783,0.6908839765508228,0.4878343185440125,0.5105807574595599,0.34210762086359403,0.5506633794408515,0.41962738280681033,0.04013885908536652,0.8511507354259817,0.4517394759814438,0.6256507894272765,0.13998737672176287,0.6790666044956374,0.5489096316400717,0.7780463064831992,0.9380641395681313,0.6347441411040295,0.2767541319513086,0.7564510879889118,0.549717255163311,0.9774565631838426,0.39091742684116226,0.7359204063739488,0.8586001069824982,0.4301427320968263,0.008619002591780278,0.36872515547084594,0.4903124894098283,0.7233303039939631,0.6634903451287101,0.45820480525221596,0.4057144241809477,0.05293593556881826,0.32056758601649904,0.5723151856300766,0.2751902117734757,0.6773006863356594,0.2469654124670625,0.46180648156201864,0.043881088368743604,0.9457747170084609,0.40470587432917016,0.5078974160033809,0.6693854236698692,0.8817173063953962,0.2313487132001505,0.8315739259104525,0.23448400678316994,0.38495872263755715,0.9810294891150761,0.5308590342884758,0.38198004546294595,0.5937057829514346,0.20353552248180484,0.327566293922126,0.06449068045584627,0.8514844493139939,0.22835561417884764,0.6049500131477042,0.16905774913370575,0.1626522181899006,0.871271850950117,0.5047543235655417,0.19557064710152305,0.9916730528316782,0.5605393524167709,0.7567049101114696"
pmc58,"0.045227288910538066,0.23763754399239967,0.570061170089365,0.9402302414249576,0.05630327568183735,0.755137255673619,0.6459172413316012,0.8938925830509576,0.5648411332626164,0.1662833687560794,0.47987562030390885,0.871843527745232,0.06420893707513409,0.2768277972350516,0.21567515239771717,0.8398613028667203,0.3969815170742834,0.1097361986775035,0.8419985528900615,0.6361773647082327,0.6509734671509542,0.45035097890541265,0.3169465877911193,0.5339674725477638,0.4888978317924514,0.07686207527616351,0.21199405469865806,0.7077213502675275,0.03601881829142639,0.274071589342191,0.07558361385406698,0.8247432373470076,0.391859373188026,0.8218309465853593,0.6971358058918092,0.08227232427706188,0.6151291405411998,0.4299576197798217,0.4032077561332522,0.050622472269074126,0.8899133763628625,0.9576316462725879,0.35472855673021264,0.5716076494829438,0.415818568018411,0.9317404033165082,0.1891957923903549,0.46073360024167387,0.9176472779044335,0.18641980485397458,0.5581711838904407,0.47415794587907967,0.4171642789757021,0.8533171866665861,0.9764565294354102,0.27509888155912443,0.962732583861139,0.43776505498812845,0.019972932578028124,0.7697314182968802,0.8467850018697454,0.13605623443164294,0.83629131310246,0.945017094248494,0.041082364955555284,0.7549325397850504,0.1349784860716421,0.9992072989434408,0.9095866950537773,0.7026295764379158,0.8996124893723151,0.3144341058114054,0.7203732127322029,0.19710603882365219,0.2252071002162016,0.5285842014374423,0.476991915378175,0.8918202114066128,0.13637110502945837,0.15031062248396876,0.48064802831240894,0.4022946780763187,0.6137079695437473,0.05168567991113182,0.9568146705908778,0.7720317859723548,0.1557516228655298,0.20989284230499716,0.5742935397085736,0.6091953913933262,0.2201098300191635,0.6594900581245843,0.7748584021819559,0.8543459827827155,0.6631478293998225,0.6970911382607585,0.6416757101614959,0.19740373373054254,0.33207389082382044,0.6669053866842103"
pmc59,"0.32533033076326434,0.7282163486118596,0.09717649377076854,0.575474177875879,0.11881791626807192,0.6203095513534647,0.5707783046689119,0.7885972112245307,0.06570863942835237,0.7380336164263704,0.6275054632183701,0.029247283034559146,0.5819714019143988,0.5923503285933622,0.6588854702326572,0.9000231233980112,0.44720254050483565,0.547959488973693,0.7284906771616132,0.785651618080232,0.5454318694069055,0.7488263369633065,0.43459596085871177,0.14213712379345766,0.40177880065432425,0.5006242680704178,0.6573534821701286,0.06220322616470275,0.17522177210582734,0.807070903866703,0.951423220845566,0.2923831104121931,0.8956747776187787,0.6595107686407702,0.6486389567688156,0.45958405721362305,0.9106057172144217,0.8309491710550684,0.8336440104751723,0.0393918336928194,0.9919627472386433,0.5657449506132892,0.40070416683446664,0.18483839794702495,0.5485884150546885,0.9969494174116696,0.7203839985864458,0.9888405413036631,0.8874689402128824,0.7493694366449569,0.34700233541219994,0.22578955215062912,0.8777494048626249,0.4983330282942372,0.9546663568790689,0.6391078469947064,0.6283471175494444,0.31037088910812005,0.5866017374045605,0.8109351926726106,0.8319415416880521,0.8360789007952809,0.21546290727573003,0.6736098319966951,0.34728847430569776,0.9551751604781324,0.2961767655589985,0.28684664564719997,0.6338894618324419,0.9559800588260723,0.9108242203303961,0.5809685866315925,0.44447997797779104,0.8753632399007607,0.25709608939511175,0.8106038482601611,0.642278163507115,0.19644131522278585,0.19668855823121312,0.038591561938133845,0.5518287335341685,0.7832900924388664,0.793537402228831,0.15853615849992353,0.32997489529027646,0.8282127578865942,0.8804219028736048,0.49187595946082374,0.6220294792520092,0.8531729786467225,0.20117296711390076,0.4017936703333638,0.12970625799002689,0.6867677955971696,0.34171187934168834,0.5868204450735637,0.8172592689875229,0.575520216966124,0.1549417853379359,0.2340281753068746"
pmc60,"0.388677289689482,0.3677831327192532,0.6150072266991697,0.3881699262065219,0.11752624677710488,0.7040797680992236,0.35609672589784624,0.15167487973275118,0.7755276166950106,0.08279866792512647,0.8736771141863388,0.8258167505647627,0.26899340443509767,0.912363345616691,0.3938644056541585,0.3534213793027181,0.6005943333606173,0.4543773345599609,0.7764474464997246,0.11833619092338732,0.062273105881885615,0.6511475848816741,0.7738796557301564,0.011706610730904066,0.9938483888996982,0.7945155444907487,0.4722818041629817,0.14730304427897034,0.8667703545060003,0.19524060295649204,0.29729079030733363,0.4439194545063778,0.2043163833989703,0.7962414505413685,0.27528821345186016,0.3064634680428203,0.5098540095504577,0.1198910934727121,0.8146710047099892,0.5739498660690104,0.2940674621767778,0.5144613277398942,0.11514617839520114,0.059587097353143714,0.40273948474683074,0.7201574609309402,0.5111136384895005,0.48323207587543515,0.6254334501665935,0.5456959688130258,0.9328676901266331,0.6166219781652751,0.20399460360938737,0.6032454226840298,0.8001375827520759,0.3409619736429885,0.18410132336095697,0.7621296204503246,0.4553949052479408,0.40035662683983064,0.4035199924402112,0.15478603484611198,0.12048182243846794,0.06489927953840946,0.2652285225026746,0.2401515960220142,0.5722838145420012,0.28045506476005533,0.0719067173164456,0.5313399532366091,0.9433101118741497,0.7298891177035978,0.25629237536921756,0.7044936364116847,0.4794549781497657,0.7355207057935812,0.03836155478797465,0.6138459450077243,0.0553323871633461,0.8788811459128522,0.6317748436527554,0.9627848079807322,0.08559955282276832,0.8126930433757824,0.9621859094918002,0.1705303893937753,0.43372370283142103,0.019610532474253595,0.5057422983554444,0.26459711188102997,0.9224988963025031,0.9089808919148642,0.4537537602503535,0.5200826832165839,0.6836995457246208,0.8327790710232946,0.5602414637830525,0.9252646416569643,0.849034513283473,0.5880862458546977"
pmc61,"0.2713490317738959,0.6323058305935795,0.9900538501042633,0.6432882184423532,0.6492103021160636,0.21296416150891073,0.9865152487929797,0.31172206779554823,0.4532888347480276,0.6031521094663882,0.9840834691992951,0.1288698674734452,0.7975591006371882,0.21066218900566658,0.6512329770414921,0.23687055897448206,0.5156794276964978,0.844357082739616,0.6561618376810715,0.40990488969628824,0.5125026487703317,0.6209285674784312,0.6019234310151316,0.422034260127639,0.880314762148927,0.7070864772666982,0.8801567379214851,0.007841590771916818,0.28247874397702666,0.34534195224488784,0.09206698608247543,0.021913328775008956,0.5078050639587791,0.27194603941844875,0.15620656868662197,0.8223812111853543,0.5012756446257294,0.7349258473948942,0.6118310201032214,0.392895108893179,0.21031855628579366,0.0850563854892411,0.8832736014262238,0.6043593197147711,0.5196116758030075,0.2872212092051508,0.6043129822403198,0.9868959453882975,0.8082682112162782,0.20406438854660058,0.9226451396035721,0.040333852138451975,0.8264646094921829,0.2272610535596623,0.24165892081918516,0.9976722632646592,0.1056503454489307,0.9361765641665052,0.5180153489085197,0.9471529360063548,0.333299859870525,0.3011755869973588,0.8515371718979257,0.46572557766749756,0.6860911539434869,0.3235246137370379,0.44185370809106395,0.1597494602339442,0.909005588835703,0.3997195509744276,0.52023048910309,0.41093290496275825,0.1904134960249102,0.4538465638069116,0.36727770128070925,0.6637916239414441,0.6214644226567846,0.08771764171996432,0.19813074182357704,0.3149332274589325,0.2571185039986945,0.12665587284719393,0.18345788475886504,0.13260399074681106,0.9014858511007491,0.8974190500781737,0.41209360963253916,0.6713680088967957,0.8171021330026149,0.5195018547649811,0.8526661531017207,0.6379304895796655,0.5069301160771944,0.830250192781385,0.01968321538141371,0.07227170901135149,0.2550036525010757,0.14689656887777924,0.5215995129911216,0.570689661576848"
pmc62,"0.8287375091519293,0.6335297107608947,0.14008401523652403,0.45825289049151663,0.7460448792654233,0.13637147558676976,0.6057748193568872,0.24848913981446574,0.52439026932758,0.24534910968132095,0.7682734138645182,0.3351188542591419,0.31036195892357377,0.6229665835634828,0.10659303030799072,0.7805255152438618,0.9193919732144173,0.09808258078424459,0.17742876946970687,0.8398022856356172,0.8064036172328395,0.3523749466096544,0.8925232899548461,0.29504070765415624,0.6234059581594401,0.05022601146397376,0.21574067917645412,0.6309217902291634,0.9504591705752957,0.3356104542698427,0.5990445871503816,0.30104607783431303,0.419271661166022,0.6923589224610581,0.6359403268267109,0.05697872699736828,0.05024300982298213,0.5314549141893053,0.37345794513270525,0.028652427577654516,0.7653633638580407,0.5488728015425998,0.414825655521352,0.7636922693503205,0.9965263087986191,0.8797524022943436,0.4608983382065819,0.7545693612057366,0.06903693691137491,0.29191117349780726,0.5023718199720955,0.3261702541282535,0.5576886911854527,0.5437870703917469,0.06803731409166969,0.2635514794967778,0.8128509715367578,0.9407508592344611,0.007463140417219405,0.40646271795207223,0.4919280240391293,0.248976899161365,0.1566128148926499,0.2402450184643039,0.9487904976919181,0.18381288948181496,0.34671876123591117,0.16406358826533518,0.9577666581762225,0.9537036264917079,0.6770937847836443,0.6292191930082921,0.6699534908592181,0.540610994324729,0.9138145226249442,0.11338709555257254,0.7778777055368772,0.3915370996016292,0.009200897625379456,0.12897890792716526,0.9486540809029906,0.4206302368788194,0.7584036730342032,0.23339626945812697,0.27038323531065633,0.6561460918474422,0.03561215027284148,0.5231581498176416,0.8610088213080136,0.450536539067076,0.7748834322529488,0.7691698695235875,0.6873899126857146,0.4192492493189658,0.7356426600113652,0.690701039499166,0.2625502300200002,0.9708541978677002,0.9332764123790667,0.4842661981097255"
pmc63,"0.3567533266935893,0.5357746840747585,0.5183296523637367,0.5456167893159349,0.5833687650971596,0.014544665667881929,0.23722679173599448,0.743946292572677,0.44076274693822814,0.38929561404197655,0.41776678216733376,0.7435082562916078,0.4552201490818012,0.6315602200925206,0.657845304603036,0.2748060355481361,0.49696348290583026,0.4882411370217782,0.5450269188969383,0.383832951933044,0.45923987759695806,0.8414475530847599,0.4433800143791877,0.486000493797603,0.5693773611822828,0.07290183536790351,0.6778132003100442,0.4476734254104183,0.5816222929891935,0.9785254683891406,0.6236487782902661,0.5026312426301305,0.018124041045729733,0.2640619846937188,0.5993021161394377,0.41860727491832994,0.03491155265622381,0.2879453426759925,0.25533637376324414,0.5832523923125568,0.2530263409202532,0.3799790789653946,0.3872744114248413,0.5234013709220082,0.13521731371285473,0.04922091454076161,0.8287089838180064,0.24860488461330632,0.33478904189067915,0.7486087085818324,0.3278839940182585,0.46855699459113465,0.05461030321346905,0.6949701331214758,0.31690413772062476,0.27913047077426967,0.5787564763599993,0.17478128487493383,0.4226866196574257,0.7718360352301099,0.572772509737109,0.3723070985730478,0.9747600813361953,0.46980432144868156,0.26804718737863775,0.5769361233448397,0.746452128857114,0.2851865960100478,0.07771241839172549,0.6421102350255211,0.7785158800616635,0.6993129211553037,0.00040154402533987277,0.8496001749824581,0.36829546765570953,0.720616290663715,0.5003583603843902,0.7133217295012723,0.6272584006359783,0.46846123708708653,0.16975849820713584,0.48094160808430353,0.02198652203932361,0.4533706056041573,0.8035417768264277,0.8818548008206828,0.4979763025873932,0.8986389283011033,0.6156243966831266,0.011644899503096218,0.3927351142242276,0.36856246902771383,0.6332834823329955,0.1939939562233972,0.4870160405162395,0.5340277303847177,0.03925305307099991,0.9474772343956246,0.8060165046030691,0.5499789863838642"
pmc64,"0.28093450968738076,0.0902897700544083,0.8773730719279554,0.9414648087765252,0.9621725484745419,0.350587558806597,0.10178247262040374,0.03353243473577938,0.400763060875326,0.28869373677069987,0.4213570022770702,0.1607598960483082,0.011620539908100636,0.733113022415281,0.9994137257706666,0.8226143185136784,0.9921580148233127,0.15004866469398426,0.9846697395245082,0.5718722712271865,0.05195657755426841,0.47128716739816456,0.607089578718754,0.5771998867345508,0.620660479824584,0.4028732826326371,0.6077521222527226,0.13427485090227553,0.4366141897687661,0.8565372237479268,0.6485048201186882,0.05617607734743901,0.7927581135728128,0.9390684794502916,0.17935601028924097,0.458431424131438,0.5511599619163721,0.4928195845328246,0.10587431821312931,0.011302536589022472,0.8655623831722035,0.6071352808835769,0.6596902729304743,0.2267726253196457,0.6754560453364256,0.2310808528744962,0.8295627156830498,0.5383949792869577,0.3137031247571562,0.4826012356615207,0.7371324139566391,0.14795833410940584,0.9718453013254846,0.5151670283865888,0.26679454943383085,0.9306722555623983,0.6182850210137198,0.874743649656566,0.7180681612008608,0.48387726456425906,0.23833721062799695,0.25466376588996187,0.842538229398637,0.45546557200636173,0.8114659391516817,0.15484139464745494,0.8935099713933179,0.7928400452735271,0.5323602348613149,0.2981503562765556,0.1310146186504656,0.7111218170152859,0.8058911691968542,0.48013493963837317,0.3734445911454355,0.5003051563545148,0.35751332842723693,0.6594232468499163,0.3163754073876829,0.5983060756960188,0.9656531747664123,0.3763118169549976,0.8168779858937828,0.5171208881133305,0.995604201803506,0.48528071711019827,0.5541697216110001,0.16439268432841414,0.012756479707430546,0.5568121431407401,0.5043807042987668,0.9600118808191255,0.8107206729451748,0.28485267661061364,0.8131821472844613,0.3791608639799434,0.3054442265484817,0.8845719870582626,0.6929717937736674,0.49179063262366807"
pmc65,"0.5426960831582485,0.835302495589238,0.7407686177542044,0.38610263780077425,0.37487057952370406,0.5899176868546331,0.15285913918433203,0.5698896848713165,0.5596403313082179,0.35567271646494913,0.7375823015888915,0.8179670241190622,0.07244688779455888,0.1315676851272598,0.04821203886055603,0.42373825364876283,0.8514249577450957,0.32467592689006,0.9373880664971189,0.5877693608621982,0.7862781993840331,0.9791049380151545,0.6313075530919887,0.04373907230894736,0.20131210782243325,0.2952904940479433,0.2953014775718328,0.9579341210567704,0.5800888346694546,0.7011698615902597,0.2674020278575413,0.49109572938316515,0.06904590631459973,0.6363742815333744,0.7051391455705633,0.7250060762991187,0.4381786132483445,0.29994206977702265,0.35489768348655404,0.787371958149273,0.10284259215747671,0.3887263478765467,0.4420334209311235,0.6665219766930349,0.3960009663856152,0.8973857174637149,0.7093888218243862,0.9921356394785827,0.6356453219526133,0.2160314403930722,0.03671294348306664,0.9846544775908396,0.5126152441031999,0.9902851705849413,0.5059258001463939,0.02464440463632267,0.7814620887547092,0.7374314414271221,0.44269370196743585,0.897532326522084,0.7939550847155906,0.48895092643845206,0.5008766058895991,0.582144802814742,0.05535981693840952,0.35619394346137945,0.756789222902397,0.9057567906364479,0.30336428221417044,0.12646424540357115,0.6009571949974972,0.05196609813118025,0.07924960612992882,0.37320736910512686,0.38353451243397696,0.8940995361061592,0.2774267348009791,0.624700669406608,0.9731447114269086,0.030970603422510123,0.014856122507503788,0.363189123716225,0.013949018691911452,0.7636104796141586,0.25266300217128235,0.542033345097202,0.5588408709546665,0.8041092460611317,0.6952296557477357,0.6615243241461749,0.4643317447951528,0.820461290158315,0.04475143392623815,0.5051640182933148,0.9546376520064683,0.34027498223403085,0.7446036790033801,0.21455652133000225,0.005025503365311934,0.5654563660741082"
